time;renderer_bypass;upstream_bypass;integrator_bypass;tracer_bypass;tracer_not_present;auto_zoom;auto_tracking;tracer_manual_bypass;unknown_cam;period;gameclock_minute;gameclock_second;stopped
374;0;0;0;0;0;0;0;0;0;1;15;42;False
375;0;0;0;0;0;0;0;0;1;1;15;41;False
376;0;0;0;0;0;0;0;0;1;1;15;40;False
377;0;0;0;0;0;0;0;0;1;1;15;40;False
378;0;0;0;0;0;0;0;0;0;1;15;38;False
379;0;0;0;0;0;0;0;0;0;1;15;37;False
380;0;0;0;0;0;0;0;0;0;1;15;36;False
381;0;0;0;0;0;0;0;0;0;1;15;35;False
382;0;0;0;0;0;0;0;0;0;1;15;34;False
383;0;0;0;0;0;0;0;0;0;1;15;33;False
384;0;0;0;0;0;0;0;0;0;1;15;32;False
385;0;0;0;0;0;0;0;0;0;1;15;31;False
386;0;0;0;0;0;0;0;0;0;1;15;30;False
387;0;0;0;0;0;0;0;0;0;1;15;29;False
388;0;0;0;0;0;0;0;0;0;1;15;28;False
389;0;0;0;0;0;0;0;0;0;1;15;27;False
390;0;0;0;0;0;0;0;0;0;1;15;26;False
391;0;0;0;0;0;0;0;0;0;1;15;25;False
392;0;0;0;0;0;0;0;0;0;1;15;24;False
393;0;0;0;0;0;0;0;0;0;1;15;23;False
394;0;0;0;0;0;0;0;0;0;1;15;22;False
395;0;0;0;0;0;0;0;0;0;1;15;21;False
396;0;0;0;0;0;0;0;0;0;1;15;20;False
397;0;0;0;0;0;0;0;0;0;1;15;19;False
398;0;0;0;0;0;0;0;0;0;1;15;18;False
399;0;0;0;0;0;0;0;0;0;1;15;17;False
400;0;0;0;0;0;0;0;0;0;1;15;16;False
401;0;0;0;0;0;0;0;0;0;1;15;15;False
402;0;0;0;0;0;0;0;0;0;1;15;14;False
403;0;0;0;0;0;0;0;0;0;1;15;13;False
404;0;0;0;0;0;0;0;0;0;1;15;12;False
405;0;0;0;0;0;0;0;0;0;1;15;11;False
406;0;0;0;0;0;0;0;0;0;1;15;10;False
407;0;0;0;0;0;0;0;0;0;1;15;9;False
408;0;0;0;0;0;0;0;0;0;1;15;8;False
409;0;0;0;0;0;0;0;0;0;1;15;7;False
410;0;0;0;0;0;0;0;0;0;1;15;6;False
411;0;0;0;0;0;0;0;0;0;1;15;5;False
412;0;0;0;0;0;0;0;0;0;1;15;4;False
413;0;0;0;0;0;0;0;0;0;1;15;3;False
414;0;0;0;0;0;0;0;0;0;1;15;2;False
415;0;0;0;0;0;0;0;0;0;1;15;1;False
416;0;0;0;0;0;0;0;0;0;1;15;0;False
417;0;0;0;0;0;0;0;0;0;1;14;59;False
418;0;0;0;0;0;0;0;0;0;1;14;58;False
419;0;0;0;0;0;0;0;0;0;1;14;57;False
420;0;0;0;0;0;0;0;0;0;1;14;56;False
421;0;0;0;0;0;0;0;0;0;1;14;55;False
422;0;0;0;0;0;0;0;0;0;1;14;54;False
423;0;0;0;0;0;0;0;0;0;1;14;53;False
424;0;0;0;0;0;0;0;0;0;1;14;52;False
425;0;0;0;0;0;0;0;0;0;1;14;51;False
426;0;0;0;0;0;0;0;0;0;1;14;50;False
427;0;0;0;0;0;0;0;0;0;1;14;49;False
428;0;0;0;0;0;0;0;0;0;1;14;48;False
429;0;0;0;0;0;0;0;0;0;1;14;47;True
430;0;0;0;0;0;0;0;0;0;1;14;47;True
431;0;0;0;0;0;0;0;0;1;1;14;47;True
432;0;0;0;0;0;0;0;0;1;1;14;47;True
433;0;0;0;0;0;0;0;0;1;1;14;47;True
434;0;0;0;0;0;0;0;0;1;1;14;47;True
435;0;0;0;0;0;0;0;0;1;1;14;47;True
436;0;0;0;0;0;0;0;0;1;1;14;47;True
437;0;0;0;0;0;0;0;0;1;1;14;47;True
438;0;0;0;0;0;0;0;0;1;1;14;47;True
439;0;0;0;0;0;0;0;0;1;1;14;47;True
440;0;0;0;0;0;0;0;0;1;1;14;47;True
441;0;0;0;0;0;0;0;0;1;1;14;47;True
442;0;0;0;0;0;0;0;0;1;1;14;47;True
443;0;0;0;0;0;0;0;0;1;1;14;47;True
444;0;0;0;0;0;0;0;0;1;1;14;47;True
445;0;0;0;0;0;0;0;0;1;1;14;47;True
446;0;0;0;0;0;0;0;0;1;1;14;47;True
447;0;0;0;0;0;0;0;0;1;1;14;47;True
448;0;0;0;0;0;0;0;0;1;1;14;47;True
449;0;0;0;0;0;0;0;0;1;1;14;47;True
450;0;0;0;0;0;0;0;0;1;1;14;47;True
451;0;0;0;0;0;0;0;0;1;1;14;47;True
452;0;0;0;0;0;0;0;0;1;1;14;47;True
453;0;0;0;0;0;0;0;0;1;1;14;47;True
454;0;0;0;0;0;0;0;0;1;1;14;47;True
455;0;0;0;0;0;0;0;0;1;1;14;47;True
456;0;0;0;0;0;0;0;0;1;1;14;47;True
457;0;0;0;0;0;0;0;0;1;1;14;47;True
458;0;0;0;0;0;0;0;0;0;1;14;42;False
459;0;0;0;0;0;0;0;0;0;1;14;41;False
460;0;0;0;0;0;0;0;0;0;1;14;40;False
461;0;0;0;0;0;0;0;0;0;1;14;39;False
462;0;0;0;0;0;0;0;0;0;1;14;38;False
463;0;0;0;0;0;0;0;0;0;1;14;37;False
464;0;0;0;0;0;0;0;0;0;1;14;36;False
465;0;0;0;0;0;0;0;0;0;1;14;35;False
466;0;0;0;0;0;0;0;0;0;1;14;34;False
467;0;0;0;0;0;0;0;0;0;1;14;33;False
468;0;0;0;0;0;0;0;0;0;1;14;32;False
469;0;0;0;0;0;0;0;0;0;1;14;31;False
470;0;0;0;0;0;0;0;0;0;1;14;30;False
471;0;0;0;0;0;0;0;0;0;1;14;29;False
472;0;0;0;0;0;0;0;0;0;1;14;28;False
473;0;0;0;0;0;0;0;0;0;1;14;27;False
474;0;0;0;0;0;0;0;0;0;1;14;26;False
475;0;0;0;0;0;0;0;0;0;1;14;25;False
